jurisdiction,state,white,black,hispanic,asian,native_hawaiian_or_pacific_islander,american_indian_or_alaska_native,more_than_one_race,total
Larimer County,Colorado,21.6,,23.5,,,,,21.3
Pueblo County,Colorado,46.6,,60.4,,,,,53.1
Weld County,Colorado,20.7,,24.9,,,,,21.7
Fairfield County,Connecticut,24.3,58.0,10.0,,,,,26.0
Hartford County,Connecticut,38.4,66.0,26.7,,,,,46.0
New Haven County,Connecticut,59.3,91.6,22.4,,,,,59.0
New London County,Connecticut,54.4,117.9,8.9,,,,,53.6
Kent County,Delaware,63.7,44.9,,,,,,51.9
New Castle County,Delaware,65.3,73.6,27.6,,,,,58.4
Sussex County,Delaware,47.7,67.5,,,,,,44.5
"Washington, D.C.","Washington, D.C.",22.2,156.2,20.3,,,,,79.2
Alachua County,Florida,34.2,30.3,,,,,,28.2
Brevard County,Florida,35.6,28.0,13.1,,,,,30.6
Broward County,Florida,73.4,21.4,19.4,,,,,37.3
Clay County,Florida,35.0,41.6,,,,,,30.9
Collier County,Florida,37.0,,20.8,,,,,30.9
Duval County,Florida,83.5,39.4,22.5,,,,,57.0
Escambia County,Florida,98.3,74.5,,,,,,84.6
Hillsborough County,Florida,51.8,33.6,28.8,,,,,38.9
Lake County,Florida,39.4,24.1,15.7,,,,,32.2
Lee County,Florida,47.0,33.1,22.5,,,,,38.7
Leon County,Florida,22.7,11.7,,,,,,18.5
Manatee County,Florida,43.3,47.6,16.2,,,,,37.1
Marion County,Florida,66.8,46.6,26.1,,,,,55.5
Miami-Dade County,Florida,25.3,19.6,7.7,,,,,11.8
Okaloosa County,Florida,61.8,84.9,,,,,,54.0
Orange County,Florida,36.7,18.5,28.5,,,,,27.9
Osceola County,Florida,44.8,,25.8,,,,,29.3
Palm Beach County,Florida,49.0,23.1,22.3,,,,,35.9
Pasco County,Florida,72.1,47.9,23.5,,,,,57.8
Pinellas County,Florida,65.6,56.7,35.4,,,,,58.6
Polk County,Florida,37.0,24.0,14.0,,,,,27.2
St. Lucie County,Florida,36.0,19.6,,,,,,25.6
Sarasota County,Florida,27.2,66.6,,,,,,27.0
Seminole County,Florida,32.2,24.4,14.9,,,,,25.1
Volusia County,Florida,71.8,39.0,26.9,,,,,58.5
Chatham County,Georgia,55.0,23.9,,,,,,36.5
Clarke County,Georgia,52.7,45.8,,,,,,43.9
Clayton County,Georgia,96.9,15.2,,,,,,19.2
Cobb County,Georgia,31.9,22.5,,,,,,23.3
DeKalb County,Georgia,29.1,21.9,18.2,,,,,22.0
Dougherty County,Georgia,118.9,20.4,,,,,,43.4
Fulton County,Georgia,36.7,42.5,16.4,,,,,34.7
Gwinnett County,Georgia,34.6,15.3,8.3,7.5,,,,18.8
Hall County,Georgia,57.8,79.7,17.3,,,,,45.1
Houston County,Georgia,26.8,17.5,,,,,,22.4
Muscogee County,Georgia,33.8,10.4,,,,,,19.2
Richmond County,Georgia,105.2,47.0,,,,,,62.4
Hawaii County,Hawaii,25.6,,,,,,26.3,17.0
Honolulu County,Hawaii,24.2,,18.5,8.0,18.6,,28.4,18.7
Champaign County,Illinois,34.3,89.2,,,,,,36.3
Cook County,Illinois,30.2,95.9,23.9,3.9,,,12.9,43.3
DuPage County,Illinois,16.9,37.8,12.7,,,,,15.6
Kane County,Illinois,21.0,37.0,11.2,,,,,17.3
Kankakee County,Illinois,41.9,70.2,,,,,,45.3
Lake County,Illinois,19.8,60.8,10.2,,,,,18.3
Peoria County,Illinois,45.4,56.4,,,,,,43.2
St. Clair County,Illinois,35.4,33.8,,,,,,32.8
Sangamon County,Illinois,38.0,41.7,,,,,,36.5
Will County,Illinois,21.3,31.8,11.1,,,,,19.1
Winnebago County,Illinois,56.4,97.8,33.0,,,,,57.1
Allen County,Indiana,37.2,58.2,39.7,,,,,38.6
Lake County,Indiana,43.5,50.0,17.2,,,,,38.6
Marion County,Indiana,101.5,93.5,26.6,,,,39.1,84.5
St. Joseph County,Indiana,38.6,69.7,,,,,,37.8
Vanderburgh County,Indiana,42.8,60.7,,,,,,41.7
Polk County,Iowa,32.6,57.9,,,,,,31.5
Sedgwick County,Kansas,46.9,74.4,33.1,,,,,49.9
Wyandotte County,Kansas,57.4,43.2,32.8,,,,,42.8
Christian County,Kentucky,31.7,72.4,,,,,,38.3
Fayette County,Kentucky,71.1,59.8,49.4,,,,,63.7
Jefferson County,Kentucky,83.9,101.6,31.9,,,,,80.0
Ascension Parish,Louisiana,58.3,43.4,,,,,,49.1
Calcasieu Parish,Louisiana,30.1,34.4,,,,,,31.6
East Baton Rouge Parish,Louisiana,75.7,65.6,97.1,,,,,68.6
Jefferson Parish,Louisiana,79.5,65.3,41.8,,,,,65.3
