jurisdiction,state,deaths_past_year,crude_rate_past_year,crude_rate_four_years_ago,synthetics_pct_past_year,synthetics_pct_four_years_ago,population
Randolph County,North Carolina,30,20.2,62.7,0.6,0.89,148389
Richmond County,North Carolina,17,40.5,65.7,0.765,0.821,41990
Robeson County,North Carolina,61,51.4,97.5,0.574,0.805,118624
Rockingham County,North Carolina,24,25.7,60.3,0.708,0.855,93517
Rowan County,North Carolina,48,31.3,54.2,0.667,0.8,153384
Rutherford County,North Carolina,24,36.6,45,0.667,0.621,65587
Sampson County,North Carolina,10,16.6,27.1,,0.75,60404
Scotland County,North Carolina,16,47.2,77.8,0.75,0.731,33898
Stanly County,North Carolina,12,17.8,38,0.833,0.792,67326
Surry County,North Carolina,27,37.7,44.9,0.667,0.594,71547
Union County,North Carolina,25,9.5,13.5,0.84,0.879,263386
Vance County,North Carolina,12,28.3,35.6,,0.733,42337
Wake County,North Carolina,158,12.8,21.9,0.557,0.734,1.23244e+06
Wayne County,North Carolina,22,18.3,34.1,0.591,0.8,120338
Wilkes County,North Carolina,20,30.2,28.9,,,66186
Wilson County,North Carolina,24,30,36.8,0.833,0.69,79958
Yadkin County,North Carolina,10,26.3,37.6,1,0.929,37995
Burleigh County,North Dakota,13,12.6,23.1,,0.565,103107
Cass County,North Dakota,54,26.9,22.7,0.574,0.419,200945
Ward County,North Dakota,12,17.5,31.8,,,68427
Allen County,Ohio,17,16.9,37.3,,0.579,100866
Ashtabula County,Ohio,23,23.7,28.7,0.609,0.714,96906
Athens County,Ohio,18,28.5,44,0.611,0.615,63218
Brown County,Ohio,11,24.8,48,,0.762,44292
Butler County,Ohio,91,22.8,45.1,0.582,0.863,399542
Clark County,Ohio,29,21.5,60.5,0.724,0.829,134985
Clermont County,Ohio,19,8.9,32.9,,0.696,214123
Clinton County,Ohio,13,30.9,54.6,,0.826,42019
Columbiana County,Ohio,34,34.1,42.4,,,99823
Cuyahoga County,Ohio,328,26.4,50.9,0.454,0.773,1.24059e+06
Delaware County,Ohio,12,5,11.7,,0.769,237966
Fairfield County,Ohio,28,16.7,37.8,0.464,0.689,167762
Franklin County,Ohio,388,28.6,68.2,0.649,0.864,1.3563e+06
Greene County,Ohio,28,16.2,27.9,0.536,0.787,172347
Hamilton County,Ohio,167,19.9,56.4,0.569,0.833,837359
Hancock County,Ohio,11,14.7,36.1,,0.63,75016
Jefferson County,Ohio,14,21.9,49.2,,0.312,63900
Knox County,Ohio,11,17.2,22.4,,,63848
Lake County,Ohio,22,9.5,31,0.682,0.764,232360
Lawrence County,Ohio,16,28.7,83.6,0.75,0.875,55829
Licking County,Ohio,26,14.1,28.9,,,184898
Lorain County,Ohio,79,24.5,43.6,0.456,0.788,322030
Lucas County,Ohio,137,32.1,61.9,0.635,0.805,426291
Mahoning County,Ohio,69,30.6,71.5,0.681,0.901,225786
Marion County,Ohio,26,40,52,0.462,0.676,64976
Miami County,Ohio,13,11.6,22.8,,0.88,111950
Montgomery County,Ohio,163,30.3,67.9,0.601,0.758,537443
Muskingum County,Ohio,14,16.2,45,,0.615,86582
Pickaway County,Ohio,12,19.3,32.3,,1,62158
Pike County,Ohio,11,40.6,62.7,,,27065
Portage County,Ohio,20,12.2,23.9,,0.711,163839
Richland County,Ohio,20,16,69.4,0.5,0.828,124853
Ross County,Ohio,23,30.2,86.2,0.652,0.833,76046
Sandusky County,Ohio,15,25.5,30.6,,0.833,58866
Scioto County,Ohio,36,50.1,111,0.75,0.84,71798
Seneca County,Ohio,10,18.3,31,,,54730
Stark County,Ohio,102,27.3,39.3,0.412,0.653,374091
Summit County,Ohio,133,24.7,42.2,0.647,0.859,538370
Trumbull County,Ohio,55,27.5,61.5,0.636,0.871,200300
Warren County,Ohio,19,7.4,29.2,,0.736,256059
Wayne County,Ohio,11,9.4,31,,0.75,116632
Canadian County,Oklahoma,12,6.6,9.3,,,181760
Cleveland County,Oklahoma,41,13.5,12.1,0.463,0.278,303952
Comanche County,Oklahoma,27,22.2,29.4,0.444,0.528,121396
Creek County,Oklahoma,15,20.3,20.8,,,73971
Garfield County,Oklahoma,13,21,,,,62007
Le Flore County,Oklahoma,10,20.1,,,,49854
Muskogee County,Oklahoma,16,24,39.2,,,66752
Oklahoma County,Oklahoma,241,29.5,30.3,0.535,0.347,816490
Osage County,Oklahoma,15,32.3,26.1,,,46495
Payne County,Oklahoma,10,11.9,13.4,,,84199
Pottawatomie County,Oklahoma,15,20.1,21.9,,,74446
Tulsa County,Oklahoma,228,32.9,35.8,0.57,0.378,693514
Washington County,Oklahoma,11,20.3,22.7,,,54060
Benton County,Oregon,16,16.2,11.8,0.625,,98899
Clackamas County,Oregon,75,17.6,15.8,0.587,0.612,425857
Clatsop County,Oregon,17,41.4,,0.824,,41043
Coos County,Oregon,11,17.1,15.4,0.909,,64326
Curry County,Oregon,13,57.1,63.2,,,22774
Deschutes County,Oregon,27,12.8,9.7,0.407,,211535
Douglas County,Oregon,25,22.3,27.6,0.68,0.323,112255
Jackson County,Oregon,64,28.9,40.5,0.641,0.615,221331
Jefferson County,Oregon,11,43.1,,,,25536
Josephine County,Oregon,27,30.6,36.1,0.667,0.375,88276
Klamath County,Oregon,12,17,36.9,,,70438
Lane County,Oregon,118,30.9,36.8,0.466,0.437,382396
Linn County,Oregon,23,17.4,13.8,0.652,0.667,132474
Marion County,Oregon,56,15.9,27,0.714,0.436,352867
Multnomah County,Oregon,449,56.4,51.4,0.751,0.425,795897
Polk County,Oregon,12,13.3,12.3,,,90549
Umatilla County,Oregon,17,21.1,18.8,0.824,,80491
Wasco County,Oregon,17,64.1,41.2,0.647,,26507
Washington County,Oregon,67,11,13.3,0.597,0.438,611272
Yamhill County,Oregon,17,15.3,23.1,0.824,0.44,110886
Allegheny County,Pennsylvania,401,32.6,58.7,0.716,0.8,1.23181e+06
Armstrong County,Pennsylvania,12,18.8,52.1,,,63679
Beaver County,Pennsylvania,38,23,38.9,0.579,0.754,165540
Berks County,Pennsylvania,79,18,32.8,0.494,0.738,439117
Blair County,Pennsylvania,32,26.6,38.5,0.469,0.617,120269
Bucks County,Pennsylvania,76,11.7,27.2,0.5,0.705,650131
Butler County,Pennsylvania,34,17.1,34,0.5,0.881,199341
Cambria County,Pennsylvania,22,16.9,71.1,0.5,0.777,130108
Carbon County,Pennsylvania,18,27.4,50.4,0.556,0.545,65743
Centre County,Pennsylvania,10,6.3,8.2,,,159805
Chester County,Pennsylvania,54,9.6,20.1,0.463,0.633,560745
Crawford County,Pennsylvania,18,21.9,46.9,0.611,0.795,82089
Cumberland County,Pennsylvania,28,10.2,18.8,0.607,0.76,275516
Dauphin County,Pennsylvania,50,17.1,36.4,0.26,0.333,293029
Delaware County,Pennsylvania,108,18.5,33.1,0.657,0.764,584882
Erie County,Pennsylvania,48,17.9,34.5,0.667,0.828,267750
Fayette County,Pennsylvania,33,26.6,64.5,0.576,0.817,123941
Franklin County,Pennsylvania,15,9.4,16,0.733,0.76,159285
Indiana County,Pennsylvania,14,16.9,49.3,0.857,0.805,82953
Lackawanna County,Pennsylvania,44,20.3,48.6,0.432,0.867,216859
Lancaster County,Pennsylvania,45,8,24.6,0.267,0.745,563293
Lawrence County,Pennsylvania,20,23.7,63.1,0.75,0.852,84233
Lebanon County,Pennsylvania,15,10.3,23,,0.424,145319
Lehigh County,Pennsylvania,68,17.6,51.1,0.5,0.807,385655
Luzerne County,Pennsylvania,71,21.4,62.6,0.169,0.211,331379
Mercer County,Pennsylvania,17,15.7,59.1,,0.815,108140
Monroe County,Pennsylvania,24,14.4,39.7,,0.582,166523
Montgomery County,Pennsylvania,133,15.1,22.6,0.609,0.723,879190
Montour County,Pennsylvania,10,55.2,116.1,,,18115
Northampton County,Pennsylvania,33,10.2,27,0.545,0.756,322989
Northumberland County,Pennsylvania,13,14.4,30.8,,0.821,90027
Philadelphia County,Pennsylvania,935,59.4,79.6,0.686,0.753,1.57392e+06
Schuylkill County,Pennsylvania,32,22.1,42.6,0.5,0.623,144523
Somerset County,Pennsylvania,11,15.2,32.9,,0.958,72134
Venango County,Pennsylvania,12,24.3,30,0.833,,49476
Washington County,Pennsylvania,41,19.5,49.5,0.732,0.846,210434
Westmoreland County,Pennsylvania,75,21.4,46.1,,,350935
York County,Pennsylvania,58,12.3,31.6,0.379,0.786,471240
Kent County,Rhode Island,32,18.6,43.8,0.531,0.667,172450
Providence County,Rhode Island,167,24.7,50.1,0.677,0.776,675912
Washington County,Rhode Island,12,9.2,22.9,,0.633,130333
Aiken County,South Carolina,57,31.8,49.6,0.596,0.8,179245
Anderson County,South Carolina,55,25.3,33.8,0.2,0.443,217183
Beaufort County,South Carolina,30,14.9,25,0.667,0.75,201775
Berkeley County,South Carolina,46,17.4,29.6,0.565,0.843,264276
Charleston County,South Carolina,137,31.8,48,0.526,0.688,431001
Cherokee County,South Carolina,14,24.2,17.8,0.857,,57770
Chester County,South Carolina,10,30.9,40.4,,0.769,32323
Chesterfield County,South Carolina,14,31.5,39.2,,0.824,44488
Darlington County,South Carolina,10,16,22.3,,,62425
Dillon County,South Carolina,11,39.9,57.2,,1,27577
Dorchester County,South Carolina,24,13.7,22,,0.667,174663
Florence County,South Carolina,35,25.4,48.4,0.714,0.697,138049
Georgetown County,South Carolina,17,25.7,59.4,0.824,0.711,66035
Greenville County,South Carolina,129,22.6,50.1,0.372,0.724,570745
Greenwood County,South Carolina,16,22.8,57.9,,0.8,70041
Horry County,South Carolina,137,33.1,74,0.657,0.727,413391
Jasper County,South Carolina,13,36.5,42.7,,0.769,35618
Kershaw County,South Carolina,17,23.7,42.3,0.647,0.75,71698
Lancaster County,South Carolina,36,32.2,49.7,0.667,0.96,111652
Laurens County,South Carolina,10,14.2,45.7,,0.581,70545
Lexington County,South Carolina,74,23.6,35.3,0.473,0.726,313774
Oconee County,South Carolina,21,25.5,37.8,,0.567,82475
Orangeburg County,South Carolina,26,31.3,44.7,0.423,0.351,83129
Pickens County,South Carolina,23,16.6,41.6,0.478,0.636,138207
Richland County,South Carolina,97,22.5,32.8,0.381,0.599,430651
Spartanburg County,South Carolina,75,20.3,45.6,0.627,0.712,369256
Sumter County,South Carolina,16,15.3,27.7,0.688,0.793,104776
Union County,South Carolina,13,48.7,55.5,,0.667,26678
Williamsburg County,South Carolina,10,33.5,59.1,,0.611,29865
York County,South Carolina,75,24.8,39.4,0.76,0.798,303001
Minnehaha County,South Dakota,40,19.2,21,0.325,0.31,208639
Pennington County,South Dakota,14,12.1,17.9,,,115979
Anderson County,Tennessee,42,51.6,106.9,0.524,0.795,81449
Bedford County,Tennessee,10,18.4,27.3,,,54228
Blount County,Tennessee,40,28.1,61,0.7,0.726,142211
Bradley County,Tennessee,33,29,40.1,,0.568,113782
Campbell County,Tennessee,14,34.8,53.2,,0.667,40238
Carter County,Tennessee,15,26.1,44.6,,0.64,57434
Cocke County,Tennessee,11,29.3,79.7,,0.759,37596
Coffee County,Tennessee,15,24.5,47.5,0.667,0.607,61285
Cumberland County,Tennessee,25,38.1,65.7,0.6,0.732,65618
Davidson County,Tennessee,393,53.9,101.1,0.692,0.801,729505
DeKalb County,Tennessee,10,46,,,,21747
Dickson County,Tennessee,13,22.6,76.1,,0.833,57641
Franklin County,Tennessee,12,26.6,,0.833,,45137
Greene County,Tennessee,26,35.4,52.4,0.577,0.568,73398
Hamblen County,Tennessee,11,16.2,59,,0.658,67715
Hamilton County,Tennessee,130,33.7,52.5,0.592,0.686,386256
Hawkins County,Tennessee,10,16.8,19.2,,,59371
Jefferson County,Tennessee,12,20.3,46.8,,0.5,59217
Knox County,Tennessee,297,58.6,107.2,0.589,0.762,506748
Loudon County,Tennessee,13,20.9,33.5,,0.789,62129
McMinn County,Tennessee,23,40.5,57.5,,,56754
Madison County,Tennessee,17,16.9,46.7,,0.5,100409
Maury County,Tennessee,22,19.4,44.8,0.545,0.702,113411
Monroe County,Tennessee,11,22.4,53.6,,0.64,49154
Montgomery County,Tennessee,48,19.5,46.5,0.75,0.849,246025
Morgan County,Tennessee,11,50.1,80.5,,0.706,21954
Putnam County,Tennessee,21,24.7,30.8,0.571,0.56,84894
Rhea County,Tennessee,11,31.6,38.8,,,34759
Roane County,Tennessee,21,37,99.7,0.81,0.685,56742
Robertson County,Tennessee,14,17.8,32.4,,0.875,78459
Rutherford County,Tennessee,65,17.2,37,0.723,0.8,376996
Sevier County,Tennessee,25,25,63.2,0.4,0.857,100184
Shelby County,Tennessee,316,34.7,62.8,0.699,0.843,910530
Sullivan County,Tennessee,50,30.7,54.6,0.56,0.632,162703
Sumner County,Tennessee,24,11.3,33.9,0.667,0.618,211721
Washington County,Tennessee,42,30.1,52.4,,0.586,139642
White County,Tennessee,11,37.8,,,,29108
Williamson County,Tennessee,16,5.9,10.2,,0.846,269136
Wilson County,Tennessee,22,12.9,29.6,0.636,0.822,169948
Anderson County,Texas,29,48.7,29.2,,,59512
Bastrop County,Texas,13,11.3,9.8,,,114931
Bell County,Texas,52,13,17.1,0.231,0.308,399578
Bexar County,Texas,361,17,19.3,0.291,0.268,2.12774e+06
Bowie County,Texas,17,18.5,,,,91992
Brazoria County,Texas,57,13.8,15.8,0.193,0.433,413224
Cameron County,Texas,32,7.4,5.7,,,431874
Collin County,Texas,103,8.2,9.9,0.398,0.427,1.25466e+06
Comal County,Texas,21,10.4,,,,201628
Dallas County,Texas,658,24.8,23,0.465,0.313,2.65603e+06
Denton County,Texas,74,7.1,10,0.405,0.564,1.04512e+06
Ector County,Texas,31,18.2,21.1,,0.412,170022
Ellis County,Texas,18,7.7,5.9,,,232387
El Paso County,Texas,141,16.1,17.4,0.333,0.523,875784
Fort Bend County,Texas,38,4,6,0.289,0.462,958434
Galveston County,Texas,58,15.8,25,0.224,0.551,367407
Grayson County,Texas,31,20.6,13.6,,,150532
Guadalupe County,Texas,10,5.1,5.6,,,195166
Harris County,Texas,799,16,24,0.325,0.428,5.0093e+06
Hays County,Texas,19,6.5,10.9,,,292029
Henderson County,Texas,11,12.6,12,,,87467
Hidalgo County,Texas,34,3.7,2.8,,,914820
Hood County,Texas,10,14.5,,,,69126
Hunt County,Texas,14,11.8,,,,118729
Jefferson County,Texas,64,25.2,28.4,0.188,0.333,253948
Johnson County,Texas,26,12.3,8,,,210547
Kerr County,Texas,11,20.4,18.8,,,53900
Liberty County,Texas,11,9.6,17.4,,,115042
Lubbock County,Texas,59,18,18.4,,0.224,327394
McLennan County,Texas,30,11.1,10.2,,,270358
Midland County,Texas,21,11.4,14.8,,0.44,183587
Montgomery County,Texas,98,13.1,17.5,0.378,0.482,749613
Nueces County,Texas,68,19.3,30.5,,0.185,353125
Parker County,Texas,19,10.6,15.3,,0.417,179707
Polk County,Texas,10,18.4,23.1,,,54258
Potter County,Texas,19,16.6,20.6,,0.417,114649
Rockwall County,Texas,11,8,17.1,,,137044
Smith County,Texas,22,8.8,11,,,249091
Tarrant County,Texas,490,22,20.3,0.431,0.383,2.23071e+06
Taylor County,Texas,27,18.1,22.2,,0.531,148813
Travis County,Texas,290,21.3,23.1,0.393,0.427,1.36377e+06
Victoria County,Texas,10,10.9,,,,91949
Walker County,Texas,23,27.5,,,,83722
Webb County,Texas,17,6.2,10.5,,0.357,272823
Wharton County,Texas,10,23.8,,,,42035
Wichita County,Texas,21,16.2,17.7,,,129984
Williamson County,Texas,57,7.8,11.8,0.281,0.395,727480
Cache County,Utah,10,6.9,8,,,145487
Davis County,Utah,52,13.7,11.7,0.365,0.395,378470
Duchesne County,Utah,10,48.1,,,,20803
Salt Lake County,Utah,310,25.5,26.8,0.442,0.248,1.21627e+06
Tooele County,Utah,12,14.2,14.3,,,84488
Utah County,Utah,89,11.9,13.1,0.337,0.311,747234
Washington County,Utah,31,14.9,20.4,,0.359,207943
Weber County,Utah,71,25.7,25.9,0.296,0.304,276118
Caledonia County,Vermont,10,32.7,49.2,,0.8,30535
Chittenden County,Vermont,40,23.4,36.6,0.625,0.758,170851
Franklin County,Vermont,11,21.5,29.7,,0.667,51066
Rutland County,Vermont,16,26.6,51.1,,0.903,60198
Washington County,Vermont,17,28.4,43.3,0.647,0.885,59844
Windham County,Vermont,12,26.3,45.5,,0.905,45627
Windsor County,Vermont,18,31.2,44.6,0.778,0.885,57697
Arlington County,Virginia,13,5.4,14.1,,0.818,239807
Buchanan County,Virginia,11,59,,,,18632
Chesterfield County,Virginia,37,9.5,27.5,0.676,0.873,389793
Fairfax County,Virginia,85,7.3,11.1,0.576,0.764,1.16092e+06
Hanover County,Virginia,10,8.7,34.9,,0.795,115309
Henrico County,Virginia,56,16.5,38.6,0.679,0.845,338696
Loudoun County,Virginia,14,3.2,7.7,,0.788,443380
Montgomery County,Virginia,23,23.2,15.2,,0.733,98998
Prince William County,Virginia,64,12.9,17.9,0.781,0.874,497003
Pulaski County,Virginia,15,44.7,50.3,,0.588,33579
Roanoke County,Virginia,14,14.4,22.7,,0.727,97334
Smyth County,Virginia,10,34.3,,,,29137
Spotsylvania County,Virginia,17,11.2,33.3,,0.771,152021
Tazewell County,Virginia,13,33.4,62.6,,0.68,38875
Washington County,Virginia,11,20.3,29.8,,0.625,54098
Alexandria city,Virginia,14,8.8,16.1,,0.8,159102
Charlottesville city,Virginia,19,42.4,63.4,,0.621,44767
Chesapeake city,Virginia,31,12.2,20.3,0.613,0.824,254997
Danville city,Virginia,13,31,56.7,,0.417,41993
Fredericksburg city,Virginia,11,36.7,98.4,,0.929,29992
Hampton city,Virginia,20,14.5,37.7,0.75,0.923,137596
Lynchburg city,Virginia,29,36.1,49.3,0.517,0.667,80301
Manassas city,Virginia,10,22.9,67.8,,0.655,43616
Newport News city,Virginia,32,17.5,41.7,0.594,0.87,183056
Norfolk city,Virginia,71,30.7,58.7,0.563,0.877,231105
Petersburg city,Virginia,25,73.4,140.6,0.56,0.787,34058
Portsmouth city,Virginia,52,53.9,93.1,0.827,0.923,96482
Richmond city,Virginia,119,50.9,124.6,0.723,0.855,233655
Roanoke city,Virginia,63,64.3,116.5,0.476,0.67,97912
Suffolk city,Virginia,12,11.6,27,,0.962,103105
Virginia Beach city,Virginia,41,9,23.8,0.585,0.725,454808
Benton County,Washington,75,34.4,17.6,0.733,0.595,218190
Chelan County,Washington,26,32,21.3,0.615,,81228
Clallam County,Washington,26,33.4,43.3,0.654,0.382,77958
Clark County,Washington,141,26.7,22,0.603,0.451,527269
Cowlitz County,Washington,58,50.9,27.8,0.621,0.452,113982
Franklin County,Washington,16,15.8,23.4,0.688,0.522,101238
Grant County,Washington,40,38.2,24.9,0.775,,104717
Grays Harbor County,Washington,40,51.4,55.9,0.675,0.465,77893
Island County,Washington,12,13.9,11.4,,,86478
King County,Washington,884,37.8,30.7,0.776,0.564,2.34021e+06
Kitsap County,Washington,68,24.2,19.2,0.721,0.453,281420
Lewis County,Washington,25,28.7,21.3,,,87049
Mason County,Washington,41,58.9,37.2,0.585,0.4,69632
Okanogan County,Washington,21,46.7,30.4,0.714,,44942
Pacific County,Washington,12,49.5,,,,24245
Pierce County,Washington,387,41.1,35.7,0.731,0.535,941170
Skagit County,Washington,52,39.2,30.5,0.731,0.475,132736
Snohomish County,Washington,283,32.8,29.2,0.721,0.656,864113
Spokane County,Washington,307,55.2,34.8,0.785,0.542,555947
Stevens County,Washington,16,32.6,,0.625,,49015
Thurston County,Washington,123,40.6,30.8,0.593,0.533,302912
Walla Walla County,Washington,24,38.7,16.1,,,62068
Whatcom County,Washington,85,36.2,18.1,0.659,0.512,234954
Yakima County,Washington,110,42.5,37.4,0.8,0.604,258523
Berkeley County,West Virginia,35,25.7,76.1,0.657,0.844,136287
Brooke County,West Virginia,10,47,86.1,,0.842,21285
Cabell County,West Virginia,88,96.2,173.4,0.636,0.833,91489
Fayette County,West Virginia,18,46.6,92.4,0.833,0.919,38600
Harrison County,West Virginia,18,27.9,62.7,,0.732,64472
Jefferson County,West Virginia,15,24.5,41,,0.75,61264
Kanawha County,West Virginia,102,58.7,124.1,0.647,0.697,173906
Logan County,West Virginia,30,98.2,191.5,0.767,0.82,30560
McDowell County,West Virginia,12,70,184.6,1,0.912,17147
Marion County,West Virginia,12,21.6,58.9,,0.909,55649
Mercer County,West Virginia,30,52.2,157.2,0.867,0.849,57524
Mingo County,West Virginia,13,59.9,95.4,,0.818,21712
Monongalia County,West Virginia,35,32.2,77,0.629,0.72,108697
Ohio County,West Virginia,19,46.2,93.3,,0.846,41090
Putnam County,West Virginia,14,24.5,24.4,,0.714,57067
Raleigh County,West Virginia,46,63.6,159.9,0.783,0.831,72379
Summers County,West Virginia,10,86.6,109.5,,0.846,11544
Wayne County,West Virginia,15,39.9,85.6,0.733,0.818,37589
Wood County,West Virginia,32,38.7,77.5,0.688,0.754,82757
Brown County,Wisconsin,43,15.7,21.9,0.512,0.644,273909
Dane County,Wisconsin,84,14.3,33.5,0.5,0.734,588347
Eau Claire County,Wisconsin,14,12.9,22.6,,0.542,108830
Fond du Lac County,Wisconsin,14,13.4,21.1,,0.818,104269
Jefferson County,Wisconsin,12,13.9,12.8,,,86245
Kenosha County,Wisconsin,23,13.6,27.9,,0.809,168754
La Crosse County,Wisconsin,30,24.8,31,0.533,0.703,121060
Marathon County,Wisconsin,21,15.1,17.4,,0.625,139091
Milwaukee County,Wisconsin,366,39.6,69.7,0.658,0.803,924740
Outagamie County,Wisconsin,28,14.3,18.3,0.5,0.6,195390
Racine County,Wisconsin,33,16.6,28.5,0.606,0.893,198651
Rock County,Wisconsin,29,17.5,46.9,,0.74,165461
Sheboygan County,Wisconsin,12,10.1,23.8,,0.679,118331
Walworth County,Wisconsin,15,14.1,22.8,,0.75,106029
Washington County,Wisconsin,13,9.4,21.1,,0.724,138727
Waukesha County,Wisconsin,43,10.3,23.7,0.488,0.784,417029
Winnebago County,Wisconsin,25,14.4,24.6,0.48,0.69,173307
Fremont County,Wyoming,11,27.7,48.2,,,39721
Laramie County,Wyoming,13,12.8,25.8,,0.577,101783
Natrona County,Wyoming,15,18.7,17.6,,,80410
Sweetwater County,Wyoming,14,33.9,,,,41273
United States,United States,69363,20.4,32.1,0.544,0.662,3.40111e+08
